TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2],door1,door2,doorx1,doorx2,doorx3,doorx4,doorx5,doorx6,doorx7
223999,12.3,2.7,151,-0.004,0,0,0,1,1,1,1,0,0,0
225001,12.4,2.7,151,-0.004,0,0,0,1,1,1,1,0,0,0
226000,12.4,2.7,158,-0.004,0,0,0,1,1,1,1,0,0,0
227000,12.4,2.6,159,-0.004,0,0,0,1,1,1,1,0,0,0
228000,12.3,2.5,161,-0.004,0,0,0,1,1,1,1,0,0,0
229000,12.3,2.4,167,-0.004,0,0,0,1,1,1,1,0,0,0
230000,12.4,2.3,162,-0.004,0,0,0,1,1,1,1,0,0,0
230999,12.3,2.2,160,-0.004,0,0,0,1,1,1,1,0,0,0
232000,12.3,2.2,160,-0.004,0,0,0,1,1,1,1,0,0,0
233000,12.3,2.3,157,-0.004,0,0,0,1,1,1,1,0,0,0
233999,12.3,2.2,154,-0.004,0,0,0,1,1,1,1,0,0,0
234999,12.3,2.2,154,-0.004,0,0,0,1,1,1,1,0,0,0
236001,12.3,2.4,154,-0.004,0,0,0,1,1,1,1,0,0,0
236999,12.4,2.4,150,-0.004,0,0,0,1,1,1,1,0,0,0
237999,12.3,2.7,135,-0.004,0,0,0,1,1,1,1,0,0,0
239000,12.4,2.8,139,-0.004,0,0,0,1,1,1,1,0,0,0
240000,12.4,2.7,139,-0.004,0,0,0,1,1,1,1,0,0,0
241000,12.4,2.4,139,-0.004,0,0,0,1,1,1,1,0,0,0
242001,12.3,2.2,139,-0.004,0,0,0,1,1,1,1,0,0,0
242999,12.4,2.2,144,-0.004,0,0,0,1,1,1,1,0,0,0
243999,12.4,2,157,-0.004,0,0,0,1,1,1,1,0,0,0
244999,12.4,2.1,155,-0.004,0,0,0,1,1,1,1,0,0,0
246000,12.4,2.1,155,-0.004,-0.002,0,0,1,1,1,1,0,0,0
247000,12.4,2.3,155,-0.004,0,0,0,1,1,1,1,0,0,0
247999,12.4,2.5,161,-0.004,-0.002,0,0,1,1,1,1,0,0,0
249000,12.3,2.6,161,-0.004,0,0,0,1,1,1,1,0,0,0
