TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2]
315000,12.4,2.6,148,-0.004,0
316001,12.4,2.4,149,-0.004,0
316999,12.4,2.3,156,-0.004,0
318000,12.4,2.4,160,-0.004,0
319005,12.4,2.3,159,-0.004,0
320000,12.4,2.3,159,-0.004,0
320999,12.4,2.4,159,-0.004,0
321999,12.4,2.3,152,-0.004,0
322999,12.4,2.1,153,-0.004,0
324000,12.4,2,153,-0.004,0
325000,12.4,2,153,-0.004,0
326000,12.4,2.1,153,-0.004,0
327000,12.4,2,153,-0.004,0
328001,12.4,1.9,153,-0.004,0
328999,12.4,1.9,153,-0.004,0
329999,12.3,2.1,154,-0.004,0
330999,12.4,2.3,154,-0.004,0
332000,12.4,2.2,154,-0.004,0
333000,12.4,2.4,155,-0.004,0
333999,12.4,2.4,155,-0.004,0
335000,12.4,2.4,155,-0.004,0
336000,12.4,2.4,155,-0.004,0
337000,12.4,2.3,156,-0.004,-0.002
338000,12.4,2,156,-0.004,0
339000,12.4,2,160,-0.004,0
340000,12.4,2,159,-0.004,0
340999,12.4,1.9,158,-0.004,0
341999,12.4,2,151,-0.004,0
342999,12.4,2.2,146,-0.004,0
344000,12.4,2.6,147,-0.004,0
345000,12.4,2.7,149,-0.004,0
346000,12.4,2.7,149,-0.004,0
347000,12.4,2.7,149,-0.004,0
348001,12.4,2.7,149,-0.004,0
349000,12.4,2.5,148,-0.004,0
349999,12.4,2.6,148,-0.004,0
351000,12.4,2.5,149,-0.004,0
352000,12.4,2.4,149,-0.004,0
353000,12.4,2.4,149,-0.004,0
354001,12.4,2.4,149,-0.004,0
354999,12.4,2.4,149,-0.004,0
356000,12.4,2.4,149,-0.004,0
357000,12.4,2.4,149,-0.004,0
358000,12.4,2.1,148,-0.004,0
359000,12.4,2.2,149,-0.004,0
360000,12.4,2.1,150,-0.004,0
360999,12.4,2.1,156,-0.004,0
361999,12.4,2.2,155,-0.004,0
363000,12.4,2.5,154,-0.004,0
363999,12.4,2.4,150,-0.004,0
365000,12.4,2.7,148,-0.004,0
366000,12.4,2.8,148,-0.004,0
366999,12.4,2.7,147,-0.004,0
368001,12.4,2.5,147,-0.004,0
368999,12.4,2.5,148,-0.004,0
370000,12.4,2.4,148,-0.004,0
371000,12.4,2.5,159,-0.004,0
372000,12.4,2.4,153,-0.004,0
373000,12.4,2.3,159,-0.004,0
374000,12.4,2.3,154,-0.004,0
375000,12.4,2.3,158,-0.004,0
376000,12.4,2.5,157,-0.004,0
377004,12.4,2.8,155,-0.004,-0.002
378000,12.4,2.8,149,-0.004,0
379000,12.4,2.8,149,-0.004,0
380000,12.4,3,149,-0.004,0
380999,12.4,3,149,-0.004,0
381999,12.4,2.8,144,-0.004,0
383000,12.4,2.8,148,-0.004,0
384000,12.4,2.7,151,-0.004,0
384999,12.4,2.8,161,-0.004,0
386000,12.4,2.9,159,-0.004,0
386999,12.4,3,155,-0.004,-26.077
388000,12.4,3,154,-0.004,0
389000,12.4,3,155,-0.004,0
390000,12.4,2.8,152,-0.004,0
391000,12.4,2.7,154,-0.004,0
392000,12.4,2.8,158,-0.004,0
393000,12.4,2.9,160,-0.004,0
393999,12.4,2.9,168,-0.004,0
394999,12.4,2.8,169,-0.004,0
395999,12.4,2.7,159,-0.004,0
397000,12.4,2.7,155,-0.004,0
398000,12.4,2.7,155,-0.004,0
399000,12.4,2.6,155,-0.004,0
400000,12.4,2.5,153,-0.004,0
400999,12.4,2.4,154,-0.004,0
403000,12.4,2.5,156,-0.004,0
404000,12.4,1.9,149,-0.004,0
405000,12.4,2.5,166,-0.004,0
406000,12.4,2.4,169,-0.004,0
406999,12.4,2.6,168,-0.004,0
407999,12.4,2.6,169,-0.004,0
408999,12.4,2.6,166,-0.004,-0.002
410000,12.4,2.4,166,-0.004,0
410999,12.4,2.2,167,-0.004,-0.002
412000,12.4,2.2,168,-0.004,0
413000,12.4,2.3,171,-0.004,0
